Id,City,NeighborHood,AuxiliaryRoad, CoffeeShopName,StartAt,EndAt,CountOfFeaturs,PhoneNumber,free internet,hookah,cigarettes,parking-lot,Pose,Free-Delivery,View,BreakFast,Outdoor,Live-Music,TotalRate,QualityPoint,ServicePoint,DecorationPoint,WorthRatio
0,تهران,زعفرانیه, آصف، انتهای کوچه حامد، نبش باغستان ششم,خامیز,8:00,24:00:00,2,2126808894,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
1,تهران,فرمانیه, خیابان لواسانی، مابین آقایی و وطن پور، پلاک 152,کافه رستوران بارمان,10:30,24:00:00,1,2122202929,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
2,تهران,فلسطین شمالی,نرسیده به بلوار کشاورز،پلاک431,سیزده,8:00,24:00:00,2,2188914292,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
3,تهران,فرشته, مريم غربي،كوئين سنتر,اینساید,10:00,24:00:00,3,2122661143,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,0
4,تهران,بلوار سعادت آباد,نبش کوچه حق طلب،ساختمان تهران پاریس,هوبو لانژ,14:00,24:00:00,1,9190054735,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
5,تهران,خیابان اشرفی‌اصفهانی, خیابان پیامبر‌شرقی، پلاک ۴۷,مارون بار,11:00,24:00:00,2,2144973474,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
6,تهران,میدان هفت تیر,هتل مروارید,راینو (هفت تیر),10:00,24:00:00,3,2188300750,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,0
7,تهران,خیابان کریمخان,خیابان سنائی،پلاک50,پریسکا,9:00,24:00:00,3,2188311501,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,0
8,تهران,پونک, اشرفی اصفهانی جنوب، ورودی آبشناسان غرب، طبقه بالای سرزمین سوخاری,اُدت,10:00,24:00:00,1,2144872954,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
9,تهران,بلوار مرزداران غربی (بين یادگار امام و اشرفي اصفهاني), بعد از بانك كشاورزي,باراز,11:00,24:00:00,2,2144235719,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
10,تهران,خیابان‌ولیعصر, نرسیده به میدان ولیعصر، نبش خیابان فیروزه,سسنیک,11:00,24:00:00,1,2188943444,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
11,تهران,پاسداران, خیابان اسلامی، بین گلستان ۱ و ۲,پنجاه و دو هرتز,9:00,24:00:00,1,91300656,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
12,تهران,میدان هفت‌تیر, خیابان کریمخان زند، خردمندجنوبی,هفت (هفت تیر),8:00,24:00:00,3,2188811224,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
13,تهران,میدان هفت تیر,خیابان بهار شیراز،خیابان سلیمان خاطر کوچه گلزار,گلزار,10:00,24:00:00,1,2188865370,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
14,تهران,خیابان انقلاب, بعد از دروازه دولت، خیابان رامسر، پلاک ۷,مری,10:00,24:00:00,2,9366239991,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
15,تهران,نیاوران, بعد از سه راه یاسر، نرسیده به مژده، پلاک ۳۲۰,چک موز,12:00,24:00:00,1,9102003134,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
16,تهران,اندرزگو, خیابان سلیمی شمالی,آدورا,12:00,24:00:00,1,2122680036,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
17,تهران,شهرک غرب,بلوار دادمان،بین کوچه معراج و میلاد،پلاک ١٤٧,لوئیجی (شهرک غرب),9:00,24:00:00,2,2188087838,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
18,تهران,ستارخان,روبروى حبيب الهي،خيابان تاكستان،پلاک ٧/١,ماژول,9:30,24:00:00,3,2166550997,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,0
19,تهران,سهروردي شمالی, پايين‌تر از آپادانا(خرمشهر)، نبش كوچه فيروزه، پلاک ٥٤٤,آنوبانی,12:00,24:00:00,2,2188750003,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
20,تهران,اندرزگو,بعد از کاوه به سمت شرق,کاویچ,9:00,24:00:00,2,9125062720,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
21,تهران,سعادت آباد,خیابان سرو غربی،خیابان بخشایش خیابان نوزده شمالی،برج عرفان،طبقه همکف,کارنو,11:30,24:00:00,3,2172487,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,0
22,تهران,خیابان باهنر,مجموعه کتاب نیاوران,کتاب (نیاوران),12:00,24:00:00,2,2122285969,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
23,تهران,خیابان باهنر, روبروی جماران، طبقه 1،,لوتوس,12:00,24:00:00,2,2126126906,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
24,تهران,خیابان انقلاب,خیابان خارک،بن بست داوری پلاک ۳,پگاه,9:00,24:00:00,2,9107898308,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
25,تهران,میدان تجریش, ابتدای خیابان ولیعصر، جنب بانک کشاورزی,اُشو,10:00,24:00:00,2,9351138068,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
26,تهران,سعادت آباد, پایین تر از میدان کاج، کوچه حق طلب غربی، پلاک130 طبقه دوم,د وان (سعادت آباد),13:00,24:00:00,2,2188581309,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
27,تهران,‎نياوران, ميدان نياوران پلاك ١٢,لانتی,12:00,24:00:00,2,2122288140,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
28,تهران,خیابان میرداماد,خیابان حصاری،نبش کوچه سوم،هتل کوروش,دیبا (هتل کوروش),8:00,24:00:00,3,2122903993,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
29,تهران,پاسداران, نبش گلستان دوم، (فلاح زاده),سربن,6:30,24:00:00,3,2122560556,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,0
30,تهران,اندرزگو, حدفاصل کاوه و قيطريه، نبش خيابان مهر محمدی جنوبی، برج ديانا، طبقات١٠و١١,گارنت,12:00,24:00:00,2,2149927,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
31,تهران,خیابان نیاوران, خیابان مقدسی( مژده)،خیابان لاریجانی،نبش ظهیرالدوله,باران,10:00,24:00:00,4,2122694453,0,0,0,0,1,1,0,1,1,0,0.0,0,0,0,0
32,تهران,یوسف آباد," میدان سلماس ، تقاطع فتحی شقاقی و
بیستون پلاک 32",هتریک,12:00,24:00:00,2,2188334818,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
33,تهران,خیابان کریمخان,خیابان نجات الهی،خیاباان سپند،تقاطع قرنی،جنب هتل آرام,بوردیکا,12:00,24:00:00,1,2186037928,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
34,تهران,حکیمیه,بلوار بهار،نبش زهدی،پلاک14، طبقه2,میستری باکس,12:00,24:00:00,1,9375250154,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
35,تهران,حکیمیه,بلوار بهار، خیابان بهشت، بهار ۱، پلاک ۳۶,مون لایت لانژ,12:00,24:00:00,2,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
36,تهران,اندرزگو,سلیمی جنوبی،نبش نعمتی،پلاک ۷۰,توسکافه,8:30,24:00:00,3,2122242450,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
37,تهران,پل  پارک وی,چمران جنوب خروجی هتل اوین،خیابان شهید سوری،نرسیده به درب ورودی آتی ساز،کوچه بهزاد،پلاک20,دل پیانو,12:00,24:00:00,3,2122381091,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
38,تهران,سعادت آباد,میدان بهرود،خیابان عابدی،نبش کوچه سی ششم پلاک ۱۷,ریون,11:00,24:00:00,2,2122112837,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
39,تهران,میدان تجریش, جنب شمرون کباب,مانستر,7:00,24:00:00,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
