name,nameEN,city,rate,address,phone,time,quality_rate,service_rate,w_to_p_ratio,decor_rate,features
سینوول,coffeeshops,tehran,0,بلوار نلسون ماندلا، خیابان آرش غربی، جنب نوول لانژ- کافه سینوول,02188224569,9,0, 0,0,0,[]
ملو,coffeeshops,tehran,8.6,خیابان ولیعصر،ضلع جنوب شرقی میدان ولیعصر جنب ورودی B پاساژ تجارت ایرانیان,02188929415,8-22,4, 2,3,5,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
هنر,coffeeshops,tehran,8.4,خیابان انقلاب،بین خیابان وصال و قدس،جنب سینما سپیده،کوچه اسکو شماره ۸,02166484885,9:30-22:30,4, 3,4,4,"['موسیقی زنده', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
کافه ژین,coffeeshops,tehran,0,یوسف آباد-خیابان اسدآبادی- خیابان هجدهم- پلاک 27/29,02188552072,7:30,0, 0,0,0,['اینترنت رایگان']
کافه رستوران شهران,coffeeshops,tehran,0,شهران بین فلکه اول و دوم، رو به روی بانک سپه، رستوران شهران,02144332838,11,0, 0,0,0,['قلیان']
کافه خانه سبو,coffeeshops,tehran,0,خیابان نوفل لوشاتو، کوچه هانری کوبن، نبش صائب پلاک ۵,9907469565,14,0, 0,0,0,[]
بهارک( دسرک),coffeeshops,tehran,0,میدان فاطمی خیابان شهید گمنام ابتدای جهانمهر پلاک ۲۱,02188973704,8:30,0, 0,0,0,[]
لتوکافه,coffeeshops,tehran,0,بهار شمالي، خيابان وركش، نرسيده به كوچه سياسي، لتوكافه,02188495426,8,0, 0,0,0,"['سیگار', 'چشم انداز']"
سی نود,coffeeshops,tehran,8.1,خیابان شهید مطهری، نرسیده به خیابان سهروردی، بین اورامان و سنندج، ساختمان120 طبقه منفی یک، کافه سی نود,02188867931,12,0, 0,0,0,['ارسال رایگان (Delivery)']
شانیا,coffeeshops,tehran,8.2,میدان فردوسی به طرف شرق خیابان امیرسلیمانی خیابان مهنا پلاک2، کافه شانیا,02166341215,10,3, 3,3,3,['قلیان']
رباعی,coffeeshops,tehran,8.1,یوسف آباد ، خیابان اسدآبادی، خیابان هجدهم، پلاک33,02188726908,9-23,5, 5,5,5,"['اینترنت رایگان', 'دستگاه کارت خوان']"
خامیز,coffeeshops,tehran,,زعفرانیه، آصف، انتهای کوچه حامد، نبش باغستان ششم,02126808894,8-24,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
هریک,coffeeshops,tehran,8.5,مطهری- خیابان قائم مقام فراهانی- ابتدای خیابان مشاهیر- پلاک 14,02188830030,10:15-,4, 4,4,4,['دستگاه کارت خوان']
دریا باز,coffeeshops,tehran,8.2,ولنجک ،بلوار دانشجو،خیابان گلریزان، بالاتر از میدان گلریزان,02122429032,12-24,4, 4,4,3,"['سیگار', 'قلیان', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
