Name,Total-Rate,Worth-Ratio,Phone,City,Region,Street,Quality-Rate,Service-Rate,Decoration-Rate,free internet,hookah,cigarettes,parking-lot,Pose,Free-Delivery,View,BreakFast,Outdoor,Live-Music,Sum-Of-Featurs,Time-Open,Time-Close
خامیز,0,0,2126808894,تهران,زعفرانیه," آصف، انتهای کوچه حامد، نبش باغستان ششم",0,0,0,0,0,0,0,1,1,0,0,0,0,2,8:00,24:00:00
کافه رستوران بارمان,0,0,2122202929,تهران,فرمانیه," خیابان لواسانی، مابین آقایی و وطن پور، پلاک 152",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:30,24:00:00
سیزده,0,0,2188914292,تهران,فلسطین شمالی,"نرسیده به بلوار کشاورز،پلاک431",0,0,0,0,0,0,0,1,0,0,1,0,0,2,8:00,24:00:00
اینساید,0,0,2122661143,تهران,فرشته," مريم غربي،كوئين سنتر",0,0,0,0,0,0,0,1,0,0,1,1,0,3,10:00,24:00:00
هوبو لانژ,0,0,9190054735,تهران,بلوار سعادت آباد,"نبش کوچه حق طلب،ساختمان تهران پاریس",0,0,0,0,0,0,0,1,0,0,0,0,0,1,14:00,24:00:00
مارون بار,0,0,2144973474,تهران,خیابان اشرفی‌اصفهانی," خیابان پیامبر‌شرقی، پلاک ۴۷",0,0,0,0,0,0,0,1,1,0,0,0,0,2,11:00,24:00:00
راینو (هفت تیر),0,0,2188300750,تهران,میدان هفت تیر,هتل مروارید,0,0,0,0,0,0,0,1,0,0,1,1,0,3,10:00,24:00:00
پریسکا,0,0,2188311501,تهران,خیابان کریمخان,"خیابان سنائی،پلاک50",0,0,0,0,0,0,0,1,0,0,1,1,0,3,9:00,24:00:00
اُدت,0,0,2144872954,تهران,پونک," اشرفی اصفهانی جنوب، ورودی آبشناسان غرب، طبقه بالای سرزمین سوخاری",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:00,24:00:00
باراز,0,0,2144235719,تهران,بلوار مرزداران غربی (بين یادگار امام و اشرفي اصفهاني), بعد از بانك كشاورزي,0,0,0,0,0,0,0,1,0,0,0,1,0,2,11:00,24:00:00
سسنیک,0,0,2188943444,تهران,خیابان‌ولیعصر," نرسیده به میدان ولیعصر، نبش خیابان فیروزه",0,0,0,0,0,0,0,1,0,0,0,0,0,1,11:00,24:00:00
پنجاه و دو هرتز,0,0,91300656,تهران,پاسداران," خیابان اسلامی، بین گلستان ۱ و ۲",0,0,0,0,0,0,0,1,0,0,0,0,0,1,9:00,24:00:00
هفت (هفت تیر),0,0,2188811224,تهران,میدان هفت‌تیر," خیابان کریمخان زند، خردمندجنوبی",0,0,0,0,0,0,0,1,1,0,1,0,0,3,8:00,24:00:00
گلزار,0,0,2188865370,تهران,میدان هفت تیر,"خیابان بهار شیراز،خیابان سلیمان خاطر کوچه گلزار",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:00,24:00:00
مری,0,0,9366239991,تهران,خیابان انقلاب," بعد از دروازه دولت، خیابان رامسر، پلاک ۷",0,0,0,0,0,0,0,1,0,0,1,0,0,2,10:00,24:00:00
چک موز,0,0,9102003134,تهران,نیاوران," بعد از سه راه یاسر، نرسیده به مژده، پلاک ۳۲۰",0,0,0,0,0,0,0,1,0,0,0,0,0,1,12:00,24:00:00
آدورا,0,0,2122680036,تهران,اندرزگو, خیابان سلیمی شمالی,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12:00,24:00:00
لوئیجی (شهرک غرب),0,0,2188087838,تهران,شهرک غرب,"بلوار دادمان،بین کوچه معراج و میلاد،پلاک ١٤٧",0,0,0,0,0,0,0,1,1,0,0,0,0,2,9:00,24:00:00
ماژول,0,0,2166550997,تهران,ستارخان,"روبروى حبيب الهي،خيابان تاكستان،پلاک ٧/١",0,0,0,0,0,0,0,1,0,0,1,1,0,3,9:30,24:00:00
آنوبانی,0,0,2188750003,تهران,سهروردي شمالی," پايين‌تر از آپادانا(خرمشهر)، نبش كوچه فيروزه، پلاک ٥٤٤",0,0,0,0,0,0,0,1,0,0,0,1,0,2,12:00,24:00:00
